t_key,t_koreanorg,t_jpn,t_chinese,t_korean
^dialog_1220069_Title^,^엔더 에일(치메르의 집b)^,^^,^^,^Ender Ale(Chimer's 집House B)^
^dialog_1220069_text0^,^으... 윽, 기습한 자의 얼굴을 보지는 못했습니다...<br>전 괜찮습니다... 그보다 치메르님의 서신을 받으세요...^,^^,^^,^Ugh... ugh, I couldn't recognize the face who ambushed...<br>I am okay...you'd better take this letter from Mistres Chimer...^
^dialog_1220070_Title^,^사제 견습생^,^^,^^,^Priest Apprentice^
^dialog_1220070_text0^,^안녕하세요. 저는 사제 견습생 입니다. 아직 견습이라 모른스 사제님을 도와드리는 일을 주로 하고 있습니다.^,^^,^^,^Hello.. I am an apprentice priest. My main job is to assist Priest Morns while I am still in training.^
^dialog_1220073_Title^,^발카닌^,^^,^^,^Vulcanin^
^dialog_1220073_text0^,^사냥감들이 이렇게 난폭해지다니… 오늘 사냥도 틀렸구만!^,^^,^^,^The quarries are too wild… No more hunting for today!^
^dialog_1220074_Title^,^경비대장 하스론^,^^,^^,^Guard Captain Harthron^
^dialog_1220074_text0^,^마을에 돌고 있는 사악한 저주 때문에 마을이 슬픔에 잠겨 있네. 더 이상의 희생자를 두 눈뜨고 지켜볼 수가 없네. <br>저주가 퍼지지 않도록 그대가 힘을 써줄 수 있는가?^,^^,^^,^The whole village is in sorrow becaused of the evil curse. I don't want to see any more victims. <br>Can you stop the curse?^
^dialog_1220075_Title^,^야더^,^^,^^,^Yahder^
^dialog_1220075_text0^,^모하바 용병단으로부터 마을 주민들을 지켜야하는 게 저희의 임무입니다!^,^^,^^,^Our duty is to protect the villagers from Mohaba mercenaries!!^
^dialog_1220076_Title^,^마울로^,^^,^^,^Maulo^
^dialog_1220076_text0^,^이 마울로의 사냥을 방해하는 것들은 모조리 없애 버릴 거야!^,^^,^^,^I will destroy everything tHat impede my hunting time!!^
^dialog_1220077_Title^,^리야드<야수 조련사>^,^^,^^,^Liyad<Beast Trainer>^
^dialog_1220077_text0^,^안녕하세요. 야수 조련사 리야드라고 합니다.<br><br>혼자서 모험하기가 두려우시다구요? 무슨 걱정이에요. 영원한 동반자 펠로우가 있는걸요.^,^^,^^,^Hello..I am Liyad, the Beast Trainer.<br><br> Are you afraid of going on a adventure alone? Don't worry. You have your familiars, your life time companions.^
^dialog_1220077_answer_0_text^,^펠로우 위탁^,^^,^^,^Familiar Obedience Training^
^dialog_1220077_answer_1_text^,^주변 지역의 지상 펠로우^,^^,^^,^Nearby Land Familiar^
^dialog_1220077_answer_2_text^,^주변 지역의 비행 펠로우^,^^,^^,^Nearby Flying Familiar^
^dialog_1220077_answer_3_text^,^펠로우 목장으로 이동^,^^,^^,^To Familiar Farm^
^dialog_1220078_Title^,^카이르<콜렉터>^,^^,^^,^Kayar<Collector>^
^dialog_1220078_text0^,^콜렉터의 일원인 카이르입니다. 베르칸 마을 근처에 서식하는 펠로우에 대한 연구를 진행하고 있는데 쉬운 일이 아니군요.<br><br>저는 연구에 집중해야 하니 중요한 일이 아니면 다음에 뵙지요…^,^^,^^,^I am Kayar, a member of the Collector. I am reasearching the familiars inhabiting near Berkan Village. But, it's not easy at all.<br><br>I need to focus on my research. If it's not anything urgent, I will see you next time.^
^dialog_1220078_answer_0_text^,^콜렉터는 무슨 단체입니까?^,^^,^^,^WHat kind of union the Collector is?^
^dialog_1220078_answer_1_text^,^펠로우 마스터 바인데르에 대해 알고싶습니다.^,^^,^^,^I would like to learn about Familiar Master Bynder.^
^dialog_1220079_Title^,^두바<야수 조련사>^,^^,^^,^Duba<Beast Trainer>^
^dialog_1220079_text0^,^겉으로는 강해보여도 속은 누구보다 여린 것이 펠로우지요. 그들과 교감한다는 것은 아주 행복한 일입니다.^,^^,^^,^Familiars look strong outside but more gentle than any creatures inside. You should be very happy you can commune with them.^
^dialog_1220079_answer_2_text^,^펠로우 위탁^,^^,^^,^Familiar Obedience Training^
^dialog_1220079_answer_3_text^,^주변 지역의 지상 펠로우^,^^,^^,^Nearby Land Familiar^
^dialog_1220079_answer_4_text^,^주변 지역의 비행 펠로우^,^^,^^,^Nearby Flying Familiar^
^dialog_1220079_answer_5_text^,^펠로우 목장으로 이동^,^^,^^,^To Familiar Farm^
^dialog_1220080_Title^,^에베인<콜렉터>^,^^,^^,^Ebein<Collector>^
^dialog_1220080_text0^,^불온한 무리들이 우리 콜렉터들의 연구를 방해하려 하고 있습니다. 그들이 수를 쓰기 전에 초원의 모든 연구를 끝내야 합니다.<br><br>혹시, 저희를 좀 도와주시겠습니까?^,^^,^^,^A seditious group of people are trying to interfere collector's research. We have to finish our research on the grasslands. <br><br>Can you help us by any chance?^
^dialog_1220080_answer_3_text^,^콜렉터는 무슨 단체입니까?^,^^,^^,^WHat kind of union the Collector is?^
^dialog_1220080_answer_4_text^,^펠로우 마스터 바인데르에 대해 알고싶습니다.^,^^,^^,^I would like to learn about Familiar Master Bynder.^
^dialog_1220081_Title^,^키르 타르파<야수 조련사>^,^^,^^,^Kheer Tarpa<Beast Trainer>^
^dialog_1220081_text0^,^초원의 펠로우라면 모르는 것이 없습니다. 궁금한 것이 있으면 언제든지 물어보세요.^,^^,^^,^There's nothing I don't know about grassland familiars. Ask me anytime if you have a question.^
^dialog_1220081_answer_1_text^,^펠로우 위탁^,^^,^^,^Send a Familiar for obedience training^
^dialog_1220081_answer_2_text^,^주변 지역의 지상 펠로우^,^^,^^,^Nearby Land Familiar^
^dialog_1220081_answer_3_text^,^주변 지역의 비행 펠로우^,^^,^^,^Nearby Flying Familiar^
^dialog_1220081_answer_4_text^,^펠로우 목장으로 이동^,^^,^^,^To Familiar Farm^
^dialog_1220082_Title^,^파리드<콜렉터>^,^^,^^,^Parid<Collector>^
^dialog_1220082_text0^,^누구보다 먼저 신수의 움직임을 연구해야 합니다. 그런데 이 곳 상황이 매우 좋지 않아 보이는군요.<br><br>부탁이 있는데 들어주시겠습니까?^,^^,^^,^I have to finish my study about the movements of the holy beast before anyone else. But, the situation here doesn't seem so good.<br><br>Can you do me a favor?^
^dialog_1220082_answer_3_text^,^콜렉터는 무슨 단체입니까?^,^^,^^,^WHat kind of union the Collector is?^
^dialog_1220082_answer_4_text^,^펠로우 마스터 바인데르에 대해 알고싶습니다.^,^^,^^,^I would like to learn about the Familiar Master Bynder.^
^dialog_3050831_Title^,^비밀 서재 이동 포탈^,^^,^^,^Secret Library Warp Portal^
^dialog_3050831_text0^,^포탈을 이용하여 엘더 공작의 비밀 서재로 이동할 수 있습니다.^,^^,^^,^The portal will trans port you to Duke Elder's Secret Libary.^
^dialog_3050831_Answer_0_Text^,^엘더 공작의 비밀 서재로 이동^,^^,^^,^To Duke Elder's Secret Library^
^dialog_3050832_Title^,^엘더 공작의 숨겨진 밀실 이동 포탈^,^^,^^,^Duke Elder's Secret Room Warp Portal^
^dialog_3050832_text0^,^포탈을 이용하여 엘더 공작의 숨겨진 밀실로 이동할 수 있습니다.^,^^,^^,^The portal will transport you to Duke Elder's Secret Room.^
^dialog_3050832_Answer_0_Text^,^엘더 공작의 숨겨진 밀실로 이동^,^^,^^,^To Duke Elder's Secret Room^
^dialog_1220083_Title^,^주변 지역의 지상 펠로우^,^^,^^,^Nearby Land Familiar^
^dialog_1220083_text0^,^[일반 펠로우]<br>아크라트 코뿔소<br>아크라트 코끼리<br><br>[영웅 펠로우]<br>낫 뿔 고르고스^,^^,^^,^[Common Familiar]<br>Akrat Rhino<br>Akrat Elephant<br><br>[Heroic Familiar]<br>Sickle Horn Gorgoth^
^dialog_1220084_Title^,^주변 지역의 비행 펠로우^,^^,^^,^Nearby Flying Familiar^
^dialog_1220084_text0^,^[일반 펠로우]<br><br>초원 거대 부엉이 150m^,^^,^^,^[Common Familiar]<br><br>Big Grassland Owl 150m^
^dialog_1220085_Title^,^주변 지역의 지상 펠로우^,^^,^^,^Nearby Land Familiar^
^dialog_1220085_text0^,^[일반 펠로우]<br>초원 붉은 말<br><br>[영웅 펠로우]<br>질풍의 마티오스<br>칠흑의 네베스^,^^,^^,^[Common Familiar]<br>Plains Zebra<br><br>[Heroic Familiar]<br>Mathios of Gale<br>Helm-black Neves^
^dialog_1220086_Title^,^주변 지역의 비행 펠로우^,^^,^^,^Nearby Flying Familiar^
^dialog_1220086_text0^,^[일반 펠로우]<br>큰 초원새 200m<br><br>[영웅 펠로우]<br>사냥꾼 라고샤 400m<br><br>[전설 펠로우]<br>천벌의 하데스 450m^,^^,^^,^[Common Familiar]<br>Big Grassland Bird 200m<br><br>[Heroic Familiar]<br>Hunter Ragosha 400m<br><br>[Legendary Familiar]<br>Hades of Nemesis 450m^
^dialog_1220087_Title^,^주변 지역의 지상 펠로우^,^^,^^,^Nearby Land Familiar^
^dialog_1220087_text0^,^[정예 펠로우]<br>흰 상아 마가샤<br>초원의 제아<br>초원의 제닌<br>초원의 니제아^,^^,^^,^[Elite Familiar]<br>Magasha The White Ivory<br>Grasslands Zea<br>Grasslands Zenin<br>Grasslands Nizea^
^dialog_1220088_Title^,^주변 지역의 비행 펠로우^,^^,^^,^Nearby Flying Familiar^
^dialog_1220088_text0^,^[일반 펠로우]<br>테트라 200m<br><br>[정예 펠로우]<br>붉은 빛의 루가브 300m<br><br>[영웅 펠로우]<br>신비로운 티샤난 200m^,^^,^^,^[Common Familiar]<br>Tetra 200m<br><br>[Elite Familiar]<br>Scarlet Lugab 300m<br><br>[Heroic Familiar]<br>Mystic Tishanan 200m^
^dialog_1220089_Title^,^마을 사람들은 언제부터 변하기 시작했나요?^,^^,^^,^When did the villagers start to change?^
^dialog_1220089_text0^,^용병단들이 마을을 습격하던 날 밤... 그 밤부터 시작된 것 같습니다. 끔찍한 일이 벌어졌죠.<br>예배당을 습격한 그들은 이상한 마법을 사용했습니다... 그들로 인해 마을 사람들은 괴물로 변했고, 일부 주민들만 치열한 전투 끝에 피신할 수 있었습니다.<br>마을을 이 꼴로 만든 용병단 놈들을 절대...! 절대 용서하지 않을 겁니다!^,^^,^^,^The night when the mercenaries attack the village...I think it started on tHat night. It was horrible.<br>They attacked the village chapel and whith this unusual magic... They turned the villagers into monsters. Just a few of the villagers could escape after a fierce battle.<br>I won't, I won't forgive those mercenaries who got this village into this!^
^dialog_1220090_Title^,^하스탄 예배당은 어떤 곳입니까?^,^^,^^,^WHat is Hastan Chapel?^
^dialog_1220090_text0^,^하스탄 마을의 예배당은 엘로라의 여신님을 모시는 사원입니다. 현재 라디우스 대주교님의 인도 아래 여러 사제들이 교리 연구를 하고 있습니다.<br><br>예배당에는 엘로라 여신님의 성혈이 안치되어 있습니다. 성물의 가호 아래 하스탄 마을이 번창할 수 있었죠. 예배당을 점거한 용병단에게 성물을 빼앗기면 안되는데... 큰 걱정입니다.^,^^,^^,^Hastan Village Chapeol is to worship the goddess Ellora. There are many priests with a archbishop studying the doctrines.<br><br>Ellora's sacred blood is enshrined in the chapel. Hastan could flourish under the bless of the sacred blood. The blood must not be taken by the mercenaries....^
^dialog_1220091_Title^,^로슈 유적은 어떤 곳입니까?^,^^,^^,^WHat are Roschu Ruins?^
^dialog_1220091_text0^,^로슈 유적은 구국의 영웅 로슈님의 흔적이 남겨져 있는 유적지입니다. 지금 냉혈의 헤라틱이 그곳을 점거하고 있죠. 로슈님이 남긴 귀한 유물들이 훼손되지 않을까 걱정입니다. <br><br>산 사람의 물건을 빼앗는 것도 모자라 우리의 유산까지 넘보다니...! 정말 흉악한 놈들입니다. 혹시 유적지 일대를 지나신다면, 그곳을 장악한 모하바 용병단을 꼭 몰아내주십시오.^,^^,^^,^Roschu Ruins preserve the vestige of the hero Roschu who save the country. Now, the place is occupied the cold blooded Herutic. I am afraid of the relics from Roschu being damaged. <br><br>They didn't get enough just stealing from the living so tHat they are trying to steal the relics...! They are cruel indeed. By any chance, if you pass the area near the ruins, drive out those Mohaba mercenaries, please.^
^dialog_1220092_Title^,^왜 환각 협곡이라고 불리나요?^,^^,^^,^Why is it called Hallucination Canyon?^
^dialog_1220092_text0^,^아크라트의 교역 상인들은 항구에서 하스탄 마을로 향할 때 늘 이 협곡을 지나갔습니다.<br>헌데 상단들이 이 협곡을 지날 때마다, 늘 한 사람씩 실종이 됐는데... 며칠 후 실종된 사람이 돌아왔을 땐 이미 제정신이 아니었다고 합니다.<br><br>그 후 사람들은 이 협곡을 환각 협곡이라고 부릅니다.^,^^,^^,^Akrat trade merchants used to pass by this canyon on their way to Hastan Village from the Entrepot. <br>Everytime they go by this canyon, there was one person went missing...And, the missing one always came back with madness.<br><br> Since then, it's called Hallucination Canyon.^
^dialog_1220092_text0_attach_0^,^하지만 사실은 구국의 영웅<font color="#3ec1d0">로슈 유적</font> 잠든 유물의 영향으로 사악한 기운들이 모여서 일어나는 현상입니다.<br>혹시나 이질적인 존재가 나타나 당신을 부른다면 뒤도 돌아보지 말고 도망치십시오!^,^^,^^,^But, in fact, tHat's because the relics resting in Roschu Ruins attract evil spirits.<br> If you feel like anything unusal calling you behind your back, don't look back and just run!!^
^dialog_1220093_Title^,^왕국에서 지금 무슨 일이 벌어지고 있나요?^,^^,^^,^WHat's happening in the kingdom?^
^dialog_1220093_text0^,^상황이 좋지 않습니다... 공주님의 변화를 알게 된 일부 귀족들이 백성의 안전을 이야기하며 공주님을 처형해야 한다고 주장하고 있습니다.<br>때문에 섀도우 클랜에서는 서둘러 공주님의 안위를 확보하고자 노력하고 있습니다.<br><br>헌데, 이런 주장에 힘을 싣고 있는 일부 귀족들의 행태가 심상치 않습니다. 뒤에서 모종의 계략을 꾸미고 있는 것 같습니다... 저는 그 실태를 파악하고자 이곳 아크라트 초원으로 오게 되었습니다.^,^^,^^,^It's pretty bad...The arstocrats who heard about the change happening to the princess brought up the execution of the princess.<br>Thus, the Onyx Order is paying a great attention to the safety of the princess.<br><br> Anyway, the aristocrats supporting the execution are acting weird. They are probably setting up something behind....I came here in Akrat Grasslands to find out the truth.^
^dialog_1220094_Title^,^도적단이 광산에서 무슨 일을 벌이고 있나요?^,^^,^^,^Waht the bandits are doing in the mine?^
^dialog_1220094_text0^,^광산을 침략한 도적단 놈들은 세공된 오르들에는 하나도 관심이 없었어요. 이상하지 않나요? 세공된 오르들이 훨씬 값나가는 물건들인데 말이죠.<br><br>그들은 광산을 점령하자 마자, 거대한 크리스탈을 설치하고, 오르 광석에서 무언가를 추출하는 것 같았어요. 광부인 나는 잘 모르겠지만 분명 이상한 의식같은 것이 분명해요!^,^^,^^,^The bandits who invaded the mine are not interested at all in Ores. Isn't it strange tHat they are not intrested in those pricey carved Ores? <br><br>As soon as they took over the mine, they installed a giant crystal and started to extract something from the Ore minerals. I am just a miner who doesn't know much. But, I am sure it's some kind of ritual!^
^dialog_9015936_title^,^라비니 알바니^,^^,^^,^Arbeit Rabbini^
^dialog_9015936_text0^,^반갑당! 모험가들에게 재밌고 특별한 임무를 주기 위해 온 라비니 알바니당!<br><br>내가 나타나는 곳 어디든 특별한 임무가 준비되어있을 테니 기대해도 좋당!^,^^,^^,^Are you an adventurer? Nice to meet you! I am Arbeit Rabbini who came to cheer up adventurers!<br><br>I heard tHat Duke Elder's hideout was found here...I will give you a special mission!^
^dialog_9015937_title^,^섀도우 클랜 포트거스^,^^,^^,^Onyx Order Portguss^
^dialog_9015937_text0^,^우리는 크로우 님의 명령을 받아 붉은 혁명단 기지를 조사 중에 있습니다. <br>가난한 사람도 잘 살 수 있도록 세상을 변하게 한다는 붉은 혁명단의 처음 취지와는 달리, 극악한 악행을 저지르고 있어 그의 배후에 엘더 공작이 있는게 아닌지 의심스럽습니다.^,^^,^^,^Sir Crow ordered us to investigate the Red Revolutionaries Base. <br>Unlike their very first object to make the world better even for the poor, they are committing infernal deeds. It's doubtful whether there is the Duke Elder behind everything or not.^
^dialog_9015938_title^,^섀도우 클랜 안느^,^^,^^,^Onyx Order Anne^
^dialog_9015938_text0^,^포트거스 때문에 섀도우 클랜에 들어오게 되었어요. 일이 이렇게 힘든지 알았더라면... 조금 더 생각을 해봤어야 했는데…!^,^^,^^,^I came to join the Onyx Order because of Portguss. If I knew it would be this tough...I should have thought more carefully…!^
^dialog_9015939_title^,^라비니 그카니<붉은혁명단기지>^,^^,^^,^Extreme Rabbini!Red Revolutionary Base!^
^dialog_9015939_text0^,^모험가냥? 여기 이곳에 대해 들어본 적이 있냥? 들리는 소문에 의하면 어마어마하게 극한 던전이라한당!<br>대단한 모험가라면 한번 도전해봐랑!^,^^,^^,^An adventure are you? This place have you heard of? The extreme dungeon it is I've heard tHat! <br>Challenge it a great adventurer should!^
^dialog_9015940_title^,^오래된 신화 석판^,^^,^^,^Old Mythical Slate^
^dialog_9015940_text0^,^(누군가 너희를 박해하거든 검푸른 힘으로 그들을 벌하라. 내가 진실로 후대에 이르나니, 펠로우의 신비한 네 가지 기운을 검푸른 힘 안에 봉인한 자는 그 이름이 바깥 세상까지 광연하리라. 검푸른 빛이 곧 붉은 혁명단의 영광이나니 너희가 이곳에 있어야 하는 이유이며, 반드시 지켜야하리라.)^,^^,^^,^(If any men ever oppress you, dark blue power will chastise those. Hereby, I speak to future generations. Whoever seals familiar's four mysterious energies in the Dark Blue Power will gain eternal fame even beyond this world. The Dark Blue power is the reason of your being, the honor of of the Red Revolutionaries and the one tHat must be protected. )^
^dialog_9015941_title^,^섀도우 클랜 티오네드^,^^,^^,^Onyx Order Tioned^
^dialog_9015941_text0^,^안녕하세요. 저는 붉은 혁명단 기지 정찰대원 티오네드 라고 합니다.^,^^,^^,^Hello.. I am Tioned, a Patrol at Red Revolutionary Base.^
^dialog_9015943_title^,^페넬로페^,^^,^^,^Penelope^
^dialog_9015943_text0^,^안녕하세요! 저는 초승달 상단에 속한 라비니들과 달리 여행에 필요한 잡다한 물품을 주로 거래하고 있죠.<br>전 장소에 구애받지 않고 라비니들과 함께 다니며 여행자들에게 여러 상품을 제공하고 있답니다.<br>물론 처분하실 물품이 있다면 그것도 마다하지 않아요!^,^^,^^,^Hello! Unlike other Rabinnis in the Crescent Merchant Guild, I trade mescellaneous merchandise.<br>I roam with other Rabinnis selling miscellaneous items to travelers regardless of place.<br>If you want to get rid of some items, I will be there for you!^
^dialog_9015943_answer_0_text^,^잡화 상점^,^^,^^,^General Shop^
^dialog_9015944_title^,^라비니 바니라^,^^,^^,^Bunny Rabbini^
^dialog_9015944_text0^,^인간, 잘지냈냥? 항상 미들라스 대륙의 평화를 지키기 위해 고생이 많당! 우리 초승달 상단에서도 인간을 위해 늘 노력하고 있당!^,^^,^^,^Human, are you doing good? I appreciate your effort to keep the continents of Midlath at peace!! We, the Crescent Merchant Guild, are doing our best for humans too!^
^dialog_9015944_answer_0_text^,^라비니 상점^,^^,^^,^Rabbini Shop^
^dialog_9015951_title^,^섀도우 클랜 루이드^,^^,^^,^Onyx Order Ruid^
^dialog_9015951_text0^,^안녕하십니까. 저는 엘더 공작의 은신처를 알아내기 위해 파견된 섀도우 클랜 단원 루이드 입니다.<br>아크라트 성이 위치한 뒷산에서 범상치 않은 곳을 발견하였습니다.^,^^,^^,^Nice to meet you. I am Ruid, a member of the Onyx Order, sent to find out Deuk Elder's hideout.<br>I found an extraordinary place on the hill the Akrat Castle is located.^
^dialog_9015953_title^,^트레아스^,^^,^^,^Treas^
^dialog_9015953_text0^,^안녕하세요. 저는 트레아스라고 합니다.<br>이곳은 엘더 하케인 공작이 숨겨둔 보물들이 모아져 있는 밀실입니다.^,^^,^^,^Hello.. I am Treas.<br>This is a secret room where Elder Hakain keeps his treasure.^
^dialog_1500001_title^,^하스타니^,^^,^^,^Hastani^
^dialog_1500001_text0^,^안녕하세요. <br><br>이 곳은 몇 십년 동안 나라에서 공들여 만든 수련장입니다.<br>이 곳이 엄청난 노다지가 될 거라는 소문이 암암리에 돌았지요. 그래서 이 자리를 차지하기 위해 엄청난 경쟁자들을 물리쳐야 했다구요. <br><br>그러니까 자주 좀 이용해주세요~^,^^,^^,^Good morning.<br><br>This retreat has been in the country for decades.<br>Rumour has it this place was about to prosper. So we had to defeat our major competitors to occupy this position.<br><br>So please use it often.^
^dialog_1500001_answer_0_text^,^물약 상점^,^^,^^,^Potion Shop^
^dialog_1500002_title^,^블랙먼^,^^,^^,^Blackmon^
^dialog_1500002_text0^,^안녕하십니까. <br>이 수련장은 최근 개방된 곳으로 불사의 사막에 위치한 도전의 탑 35층을 한 번이라도 클리어한 사람들만이 입장 하실 수 있습니다. <br><br>이렇게 제한을 두는 이유는 모두 여러분들의 안전을 위해서이니 양해 부탁드립니다!^,^^,^^,^Hello.<br>This retreat has recently been open to only those who have cleared the 35th floor of the Tower of Challenge in Cloying Wastes.<br><br>The reasons for this limitation are for your safety!^
^dialog_1500003_title^,^코리 시거^,^^,^^,^Siger^
^dialog_1500003_text0^,^금화를 얻으셨나요?? <br>금화가 차지하고 있는 자리가 부담스러우신가요?<br><br>그렇다면 저에게 가져와 주세요! 저에게 금화를 주시고 쓸모 있는 아이템으로 교환해 가신다면 서로 윈윈이죠!^,^^,^^,^Did you bRing some gold coins??<br>Are gold coins burdening your bag?<br><br>If so, please bRing them to me! If you give me gold coins I'll exchange them for useful items, it's a win-win!^
^dialog_1500003_answer_0_text^,^금화 상점^,^^,^^,^Gold Coin Shop^
^dialog_1500004_title^,^라비니 푸로링^,^^,^^,^Rabbini PurRing^
^dialog_1500004_text0^,^초승달 상단이 유명한 것은 그 누구보다 발 빠르게 움직이기 때문이당!<br>여행자 너도 알겠지만 나는 일반적인 물건을 거래하지 않는당.<br><br>나와 거래하고 싶다면 특별한 주화를 가져와랑! 그 주화가 있다면 언제든지 환영이당.^,^^,^^,^The top of the crescent moon is famous because it moves faster than anyone else! <br> Traveler as you know, I do not deal with common things per say.<br><br>If you want to deal with me, bRing me a special coin! If you have tHat coin, you are always welcome.^
^dialog_1500004_answer_0_text^,^라비니 상점^,^^,^^,^Rabbini Shop^
^dialog_1500005_title^,^레이놀즈^,^^,^^,^Raynol^
^dialog_1500005_text0^,^고통받은 자여.<br>생명의 가호가 그대와 함께하기를 기원하니 빛의 축복이 그대의 앞길을 비출 것입니다.^,^^,^^,^Thou suffered.<br>May the origin of life bless you with blessings of the light tHat will shine thy path.^
^dialog_1500005_answer_0_text^,^부활 후유증을 치료하고 싶습니다.^,^^,^^,^Cure Dire Wounds.^
